locationcode,hiv_diagnosis_all2008
80,41
160,90
200,81
240,76
520,2094
640,270
680,108
720,1159
760,302
1000,210
1123,535
1280,110
1440,104
1520,502
1600,1606
1640,191
1680,282
1720,28
1760,175
1840,318
1920,965
2000,65
2020,92
2080,354
2160,529
2320,80
2680,962
2800,295
2840,104
3000,48
3120,160
3160,74
3240,46
3283,106
3320,65
3360,1456
3480,243
3600,414
3760,233
3840,72
4120,348
4400,82
4480,2388
4520,180
4880,66
4920,494
5000,1504
5080,139
5120,313
5360,275
5380,275
5483,109
5560,381
5600,4280
5640,579
5720,348
5775,336
5880,148
5920,59
5945,324
5960,628
6160,1066
6200,546
6280,173
6440,229
6483,162
6640,357
6760,242
6780,428
6840,100
6920,223
7040,327
7160,98
7240,320
7320,569
7360,571
7400,163
7510,88
7560,35
7600,345
8003,82
8120,65
8160,57
8200,54
8280,637
8400,54
8520,81
8560,72
8735,42
8840,2161
8960,434
9040,33
9160,121
9320,29
