cityfip,funding_1991_1995,funding_1996_2000
520,46013244.45676335,98319850.0715466
640,3577970.3065706226,24276367.348085348
720,24238113.05379303,91154887.70591298
760,0,0
875,9112360.113426808,30169214.9838769
1123,38303832.27920544,75225545.33777684
1520,0,0
1600,58727994.03190994,123855509.55176985
1680,0,18295986.961206812
1840,0,0
1920,38854931.1809385,69357240.38440624
2080,11009352.85315467,31777878.89714284
2160,14360663.891404249,47154902.843568996
2680,40828430.35730158,75496554.75743192
2800,0,19475371.783208996
3283,0,27230013.73705718
3360,69207764.68906285,99989889.74966511
3480,0,0
3600,4003838.0951803126,28076506.371573083
3640,28829060.885947965,37445854.6157385
3760,8015420.2368924655,21211839.66879902
4120,0,10509135.12769894
4480,150937711.87779042,234987208.8981578
4920,0,0
5000,83065095.61559945,145631238.96960005
5015,0,18238637.476151586
5120,0,17813165.469080925
5360,0,0
5380,13051792.035908142,37525555.103296146
5483,9077270.821161851,42353951.10387215
5560,14998401.473619632,38808598.61192229
5600,518823535.1419908,734088212.9630758
5640,63204589.99338794,93866210.70434597
5720,0,11488485.118000377
5775,24209758.365205176,43859655.88407057
5945,12560812.093842302,31575330.009140115
5960,8712273.867745671,34857018.52004217
6160,44310392.3836028,112105522.93726146
6200,7597471.281610463,27678216.076740004
6440,3251196.261763535,23680208.776113387
6780,9295390.59461802,44579174.561363414
6920,0,18870660.488772895
7040,7734535.067800125,27565404.710388497
7240,3166392.4764925297,22621768.602262896
7320,32802635.63861196,62050268.93625982
7360,232394953.32637548,272330896.463843
7400,0,18199159.671244077
7600,15003221.372223357,38734551.06915251
8280,18292678.824200228,52040227.0397485
8840,64622946.26238402,125289612.90004526
8960,13105068.613528065,44915244.23651253
