aids_reported_in_1995,cityfip,Location
7,0080,"Akron, OH"
45,0160,"Albany-Schenectady, NY"
35,0200,"Albuquerque, N.M."
37,0240,"Allentown, PA"
23,0440,"Ann Arbor, MI"
794,0520,"Atlanta, GA"
174,0640,"Austin, TX"
86,0680,"Bakersfield, CA"
788,0720,"Baltimore, MD"
74,0760,"Baton Rouge, LA"
258,0875,"Bergen-Passaic, NJ"
112,1000,"Birmingham, AL"
520,1123,"Boston, MA"
10,1280,"Buffalo, NY"
104,1440,"Charleston, SC"
105,1520,"Charlotte, NC"
942,1600,"Chicago, IL"
82,1640,"Cincinnati, OH"
190,1680,"Cleveland, OH"
32,1720,"Colorado Springs, CO"
140,1760,"Columbia, SC"
96,1840,"Columbus, OH"
777,1920,"Dallas, TX"
30,2000,"Dayton, OH"
57,2020,"Daytona Beach, FL"
353,2080,"Denver, CO"
426,2160,"Detroit, MI"
75,2320,"El Paso, TX"
725,2680,"Fort Lauderdale, FL"
17,2760,"Fort Wayne, IN"
105,2800,"Fort Worth, TX"
88,2840,"Fresno, CA"
38,2960,"Gary, IN"
46,3000,"Grand Rapids, MI"
81,3120,"Greensboro, NC"
102,3160,"Greenvile, SC"
39,3240,"Harrisburg, PA"
304,3283,"Hartford, CT"
95,3320,"Honolulu, HI"
557,3360,"Houston, TX"
156,3480,"Indianapolis, IN"
228,3600,"Jacksonville, FL"
354,3640,"Jersey City, NJ"
204,3760,"Kansas City, MO"
44,3840,"Knoxville, TN"
290,4120,"Las Vegas, NV"
63,4400,"Little Rock, AR"
1746,4480,"Los Angeles, CA"
80,4520,"Louisville, KY"
15,4880,"McAllen-Edinburg-Mission, TX"
224,4920,"Memphis, TN"
1592,5000,"Miami, FL"
193,5015,"Middlesex, NJ"
163,5080,"Milwaukee, WI"
231,5120,"Minneapolis-St Paul, MN"
77,5160,"Mobile, Al"
221,5190,"Monmouth-Ocean City, NJ"
190,5360,"Nashville, TN"
237,5380,"Nassau-Suffolk, NY"
360,5483,"New Haven, CT"
318,5560,"New Orleans, LA"
4682,5600,"New York, NY"
837,5640,"Newark, NJ"
211,5720,"Norfolk, VA"
373,5775,"Oakland, CA"
78,5880,"Oklahoma City, OK"
48,5920,"Omaha, NE"
336,5945,"Orange County, CA"
393,5960,"Orlando, FL"
895,6160,"Philadelphia, PA"
177,6200,"Phoenix, AZ"
140,6280,"Pittsburgh, PA"
236,6440,"Portland, OR"
89,6483,"Providence, RI"
95,6640,"Raleigh-Durham, NC"
171,6760,"Richmond, VA"
298,6780,"Riverside-S Berndino, CA"
73,6840,"Rochester, NY"
96,6920,"Sacramento, CA"
236,7040,"Saint Louis, MO"
91,7160,"Salt Lake City, UT"
258,7240,"San Antonio, TX"
521,7320,"San Diego, CA"
1156,7360,"San Francisco, CA"
163,7400,"San Jose, CA"
635,7440,"San Juan, PR"
83,7510,"Sarasota, FL"
20,7560,"Scranton, PA"
296,7600,"Seattle, WA"
88,8003,"Springfield, MA"
43,8120,"Stockton, CA"
20,8160,"Syracuse, NY"
40,8200,"Tacoma, WA"
487,8280,"Tampa-Saint Petersburg, FL"
17,8400,"Toledo, OH"
30,8520,"Tucson, AZ"
74,8560,"Tulsa, OK"
78,8720,"Vallejo-Fairfield-Napa, CA"
47,8735,"Ventura, CA"
1017,8840,"Washington, DC"
498,8960,"West Palm Beach, FL"
39,9040,"Wichita, KS"
177,9160,"Wilmington, DE"
17,9320,"Youngstown, OH"
