cityfip,hiv_prev
80,700
160,1877
200,1097
240,1171
520,20833
640,3936
680,1353
720,15902
760,3665
1000,3102
1123,11368
1280,1881
1440,1969
1520,5728
1600,24342
1640,2736
1680,4085
1720,675
1760,3471
1840,4015
1920,14086
2000,1162
2020,1273
2080,7706
2160,8131
2320,1443
2680,14279
2800,3627
2840,1232
3000,795
3120,1946
3160,1391
3240,1175
3283,3145
3320,1341
3360,20015
3480,3893
3600,5105
3760,3919
3840,973
4120,4984
4400,1482
4480,38540
4520,2498
4880,760
4920,5957
5000,23497
5080,2630
5120,5344
5360,4229
5380,5065
5483,2824
5560,7002
5600,107231
5640,13714
5720,5458
5775,6058
5880,2092
5920,1033
5945,5567
5960,8388
6160,16181
6200,8209
6280,2521
6440,3674
6483,2906
6640,4447
6760,3672
6780,6396
6840,2539
6920,2952
7040,5679
7160,1630
7240,4075
7320,10453
7360,14879
7400,2755
7510,1455
7560,480
7600,6547
8003,1712
8120,946
8160,939
8200,831
8280,9008
8400,832
8520,1770
8560,1343
8735,761
8840,26506
8960,7004
9040,653
9160,2165
9320,566
